Overall Qual,Gr Liv Area,Total Bsmt SF,Garage Area,1st Flr SF,Garage Cars,Year Built,Garage Yr Blt,Year Remod/Add,Full Bath,Overall Qual^2,Overall Qual Gr Liv Area,Overall Qual Total Bsmt SF,Overall Qual Garage Area,Overall Qual 1st Flr SF,Overall Qual Garage Cars,Overall Qual Year Built,Overall Qual Garage Yr Blt,Overall Qual Year Remod/Add,Overall Qual Full Bath,Gr Liv Area^2,Gr Liv Area Total Bsmt SF,Gr Liv Area Garage Area,Gr Liv Area 1st Flr SF,Gr Liv Area Garage Cars,Gr Liv Area Year Built,Gr Liv Area Garage Yr Blt,Gr Liv Area Year Remod/Add,Gr Liv Area Full Bath,Total Bsmt SF^2,Total Bsmt SF Garage Area,Total Bsmt SF 1st Flr SF,Total Bsmt SF Garage Cars,Total Bsmt SF Year Built,Total Bsmt SF Garage Yr Blt,Total Bsmt SF Year Remod/Add,Total Bsmt SF Full Bath,Garage Area^2,Garage Area 1st Flr SF,Garage Area Garage Cars,Garage Area Year Built,Garage Area Garage Yr Blt,Garage Area Year Remod/Add,Garage Area Full Bath,1st Flr SF^2,1st Flr SF Garage Cars,1st Flr SF Year Built,1st Flr SF Garage Yr Blt,1st Flr SF Year Remod/Add,1st Flr SF Full Bath,Garage Cars^2,Garage Cars Year Built,Garage Cars Garage Yr Blt,Garage Cars Year Remod/Add,Garage Cars Full Bath,Year Built^2,Year Built Garage Yr Blt,Year Built Year Remod/Add,Year Built Full Bath,Garage Yr Blt^2,Garage Yr Blt Year Remod/Add,Garage Yr Blt Full Bath,Year Remod/Add^2,Year Remod/Add Full Bath,Full Bath^2,SalePrice
6.0,987.0,483.0,264.0,483.0,1.0,1971.0,1971.0,1971.0,1.0,36.0,5922.0,2898.0,1584.0,2898.0,6.0,11826.0,11826.0,11826.0,6.0,974169.0,476721.0,260568.0,476721.0,987.0,1945377.0,1945377.0,1945377.0,987.0,233289.0,127512.0,233289.0,483.0,951993.0,951993.0,951993.0,483.0,69696.0,127512.0,264.0,520344.0,520344.0,520344.0,264.0,233289.0,483.0,951993.0,951993.0,951993.0,483.0,1.0,1971.0,1971.0,1971.0,1.0,3884841.0,3884841.0,3884841.0,1971.0,3884841.0,3884841.0,1971.0,3884841.0,1971.0,1.0,85400
7.0,1208.0,1208.0,632.0,1208.0,2.0,2005.0,2005.0,2005.0,2.0,49.0,8456.0,8456.0,4424.0,8456.0,14.0,14035.0,14035.0,14035.0,14.0,1459264.0,1459264.0,763456.0,1459264.0,2416.0,2422040.0,2422040.0,2422040.0,2416.0,1459264.0,763456.0,1459264.0,2416.0,2422040.0,2422040.0,2422040.0,2416.0,399424.0,763456.0,1264.0,1267160.0,1267160.0,1267160.0,1264.0,1459264.0,2416.0,2422040.0,2422040.0,2422040.0,2416.0,4.0,4010.0,4010.0,4010.0,4.0,4020025.0,4020025.0,4020025.0,4010.0,4020025.0,4020025.0,4010.0,4020025.0,4010.0,4.0,183600
5.0,2016.0,0.0,576.0,1288.0,2.0,1880.0,1900.0,2007.0,1.0,25.0,10080.0,0.0,2880.0,6440.0,10.0,9400.0,9500.0,10035.0,5.0,4064256.0,0.0,1161216.0,2596608.0,4032.0,3790080.0,3830400.0,4046112.0,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331776.0,741888.0,1152.0,1082880.0,1094400.0,1156032.0,576.0,1658944.0,2576.0,2421440.0,2447200.0,2585016.0,1288.0,4.0,3760.0,3800.0,4014.0,2.0,3534400.0,3572000.0,3773160.0,1880.0,3610000.0,3813300.0,1900.0,4028049.0,2007.0,1.0,131000
8.0,1607.0,960.0,480.0,962.0,2.0,1999.0,2000.0,2000.0,2.0,64.0,12856.0,7680.0,3840.0,7696.0,16.0,15992.0,16000.0,16000.0,16.0,2582449.0,1542720.0,771360.0,1545934.0,3214.0,3212393.0,3214000.0,3214000.0,3214.0,921600.0,460800.0,923520.0,1920.0,1919040.0,1920000.0,1920000.0,1920.0,230400.0,461760.0,960.0,959520.0,960000.0,960000.0,960.0,925444.0,1924.0,1923038.0,1924000.0,1924000.0,1924.0,4.0,3998.0,4000.0,4000.0,4.0,3996001.0,3998000.0,3998000.0,3998.0,4000000.0,4000000.0,4000.0,4000000.0,4000.0,4.0,200000
7.0,1361.0,1351.0,610.0,1361.0,2.0,2007.0,2007.0,2007.0,2.0,49.0,9527.0,9457.0,4270.0,9527.0,14.0,14049.0,14049.0,14049.0,14.0,1852321.0,1838711.0,830210.0,1852321.0,2722.0,2731527.0,2731527.0,2731527.0,2722.0,1825201.0,824110.0,1838711.0,2702.0,2711457.0,2711457.0,2711457.0,2702.0,372100.0,830210.0,1220.0,1224270.0,1224270.0,1224270.0,1220.0,1852321.0,2722.0,2731527.0,2731527.0,2731527.0,2722.0,4.0,4014.0,4014.0,4014.0,4.0,4028049.0,4028049.0,4028049.0,4014.0,4028049.0,4028049.0,4014.0,4028049.0,4014.0,4.0,193000
5.0,1430.0,1430.0,624.0,1430.0,2.0,2004.0,2004.0,2005.0,2.0,25.0,7150.0,7150.0,3120.0,7150.0,10.0,10020.0,10020.0,10025.0,10.0,2044900.0,2044900.0,892320.0,2044900.0,2860.0,2865720.0,2865720.0,2867150.0,2860.0,2044900.0,892320.0,2044900.0,2860.0,2865720.0,2865720.0,2867150.0,2860.0,389376.0,892320.0,1248.0,1250496.0,1250496.0,1251120.0,1248.0,2044900.0,2860.0,2865720.0,2865720.0,2867150.0,2860.0,4.0,4008.0,4008.0,4010.0,4.0,4016016.0,4016016.0,4018020.0,4008.0,4016016.0,4018020.0,4008.0,4020025.0,4010.0,4.0,173500
5.0,1344.0,624.0,513.0,624.0,3.0,1916.0,1916.0,1950.0,1.0,25.0,6720.0,3120.0,2565.0,3120.0,15.0,9580.0,9580.0,9750.0,5.0,1806336.0,838656.0,689472.0,838656.0,4032.0,2575104.0,2575104.0,2620800.0,1344.0,389376.0,320112.0,389376.0,1872.0,1195584.0,1195584.0,1216800.0,624.0,263169.0,320112.0,1539.0,982908.0,982908.0,1000350.0,513.0,389376.0,1872.0,1195584.0,1195584.0,1216800.0,624.0,9.0,5748.0,5748.0,5850.0,3.0,3671056.0,3671056.0,3736200.0,1916.0,3671056.0,3736200.0,1916.0,3802500.0,1950.0,1.0,98000
5.0,1121.0,1121.0,480.0,1121.0,2.0,1963.0,1963.0,1963.0,1.0,25.0,5605.0,5605.0,2400.0,5605.0,10.0,9815.0,9815.0,9815.0,5.0,1256641.0,1256641.0,538080.0,1256641.0,2242.0,2200523.0,2200523.0,2200523.0,1121.0,1256641.0,538080.0,1256641.0,2242.0,2200523.0,2200523.0,2200523.0,1121.0,230400.0,538080.0,960.0,942240.0,942240.0,942240.0,480.0,1256641.0,2242.0,2200523.0,2200523.0,2200523.0,1121.0,4.0,3926.0,3926.0,3926.0,2.0,3853369.0,3853369.0,3853369.0,1963.0,3853369.0,3853369.0,1963.0,3853369.0,1963.0,1.0,139000
6.0,1285.0,660.0,528.0,1285.0,2.0,1977.0,1977.0,1977.0,1.0,36.0,7710.0,3960.0,3168.0,7710.0,12.0,11862.0,11862.0,11862.0,6.0,1651225.0,848100.0,678480.0,1651225.0,2570.0,2540445.0,2540445.0,2540445.0,1285.0,435600.0,348480.0,848100.0,1320.0,1304820.0,1304820.0,1304820.0,660.0,278784.0,678480.0,1056.0,1043856.0,1043856.0,1043856.0,528.0,1651225.0,2570.0,2540445.0,2540445.0,2540445.0,1285.0,4.0,3954.0,3954.0,3954.0,2.0,3908529.0,3908529.0,3908529.0,1977.0,3908529.0,3908529.0,1977.0,3908529.0,1977.0,1.0,143500
7.0,1547.0,756.0,614.0,764.0,2.0,2009.0,2009.0,2009.0,2.0,49.0,10829.0,5292.0,4298.0,5348.0,14.0,14063.0,14063.0,14063.0,14.0,2393209.0,1169532.0,949858.0,1181908.0,3094.0,3107923.0,3107923.0,3107923.0,3094.0,571536.0,464184.0,577584.0,1512.0,1518804.0,1518804.0,1518804.0,1512.0,376996.0,469096.0,1228.0,1233526.0,1233526.0,1233526.0,1228.0,583696.0,1528.0,1534876.0,1534876.0,1534876.0,1528.0,4.0,4018.0,4018.0,4018.0,4.0,4036081.0,4036081.0,4036081.0,4018.0,4036081.0,4036081.0,4018.0,4036081.0,4018.0,4.0,215200
5.0,894.0,894.0,450.0,894.0,2.0,1968.0,1968.0,1968.0,1.0,25.0,4470.0,4470.0,2250.0,4470.0,10.0,9840.0,9840.0,9840.0,5.0,799236.0,799236.0,402300.0,799236.0,1788.0,1759392.0,1759392.0,1759392.0,894.0,799236.0,402300.0,799236.0,1788.0,1759392.0,1759392.0,1759392.0,894.0,202500.0,402300.0,900.0,885600.0,885600.0,885600.0,450.0,799236.0,1788.0,1759392.0,1759392.0,1759392.0,894.0,4.0,3936.0,3936.0,3936.0,2.0,3873024.0,3873024.0,3873024.0,1968.0,3873024.0,3873024.0,1968.0,3873024.0,1968.0,1.0,129000
8.0,1659.0,1501.0,499.0,1659.0,2.0,2000.0,2000.0,2000.0,2.0,64.0,13272.0,12008.0,3992.0,13272.0,16.0,16000.0,16000.0,16000.0,16.0,2752281.0,2490159.0,827841.0,2752281.0,3318.0,3318000.0,3318000.0,3318000.0,3318.0,2253001.0,748999.0,2490159.0,3002.0,3002000.0,3002000.0,3002000.0,3002.0,249001.0,827841.0,998.0,998000.0,998000.0,998000.0,998.0,2752281.0,3318.0,3318000.0,3318000.0,3318000.0,3318.0,4.0,4000.0,4000.0,4000.0,4.0,4000000.0,4000000.0,4000000.0,4000.0,4000000.0,4000000.0,4000.0,4000000.0,4000.0,4.0,278000
6.0,1187.0,1168.0,420.0,1187.0,2.0,1992.0,1992.0,2007.0,2.0,36.0,7122.0,7008.0,2520.0,7122.0,12.0,11952.0,11952.0,12042.0,12.0,1408969.0,1386416.0,498540.0,1408969.0,2374.0,2364504.0,2364504.0,2382309.0,2374.0,1364224.0,490560.0,1386416.0,2336.0,2326656.0,2326656.0,2344176.0,2336.0,176400.0,498540.0,840.0,836640.0,836640.0,842940.0,840.0,1408969.0,2374.0,2364504.0,2364504.0,2382309.0,2374.0,4.0,3984.0,3984.0,4014.0,4.0,3968064.0,3968064.0,3997944.0,3984.0,3968064.0,3997944.0,3984.0,4028049.0,4014.0,4.0,185000
5.0,1056.0,1056.0,572.0,1056.0,2.0,1955.0,1955.0,1955.0,1.0,25.0,5280.0,5280.0,2860.0,5280.0,10.0,9775.0,9775.0,9775.0,5.0,1115136.0,1115136.0,604032.0,1115136.0,2112.0,2064480.0,2064480.0,2064480.0,1056.0,1115136.0,604032.0,1115136.0,2112.0,2064480.0,2064480.0,2064480.0,1056.0,327184.0,604032.0,1144.0,1118260.0,1118260.0,1118260.0,572.0,1115136.0,2112.0,2064480.0,2064480.0,2064480.0,1056.0,4.0,3910.0,3910.0,3910.0,2.0,3822025.0,3822025.0,3822025.0,1955.0,3822025.0,3822025.0,1955.0,3822025.0,1955.0,1.0,145000
6.0,1453.0,1453.0,530.0,1453.0,2.0,1961.0,1961.0,1961.0,2.0,36.0,8718.0,8718.0,3180.0,8718.0,12.0,11766.0,11766.0,11766.0,12.0,2111209.0,2111209.0,770090.0,2111209.0,2906.0,2849333.0,2849333.0,2849333.0,2906.0,2111209.0,770090.0,2111209.0,2906.0,2849333.0,2849333.0,2849333.0,2906.0,280900.0,770090.0,1060.0,1039330.0,1039330.0,1039330.0,1060.0,2111209.0,2906.0,2849333.0,2849333.0,2849333.0,2906.0,4.0,3922.0,3922.0,3922.0,4.0,3845521.0,3845521.0,3845521.0,3922.0,3845521.0,3845521.0,3922.0,3845521.0,3922.0,4.0,187500
5.0,894.0,894.0,336.0,894.0,1.0,1965.0,1973.0,2009.0,1.0,25.0,4470.0,4470.0,1680.0,4470.0,5.0,9825.0,9865.0,10045.0,5.0,799236.0,799236.0,300384.0,799236.0,894.0,1756710.0,1763862.0,1796046.0,894.0,799236.0,300384.0,799236.0,894.0,1756710.0,1763862.0,1796046.0,894.0,112896.0,300384.0,336.0,660240.0,662928.0,675024.0,336.0,799236.0,894.0,1756710.0,1763862.0,1796046.0,894.0,1.0,1965.0,1973.0,2009.0,1.0,3861225.0,3876945.0,3947685.0,1965.0,3892729.0,3963757.0,1973.0,4036081.0,2009.0,1.0,138500
5.0,1938.0,942.0,240.0,1265.0,1.0,1937.0,1937.0,1995.0,2.0,25.0,9690.0,4710.0,1200.0,6325.0,5.0,9685.0,9685.0,9975.0,10.0,3755844.0,1825596.0,465120.0,2451570.0,1938.0,3753906.0,3753906.0,3866310.0,3876.0,887364.0,226080.0,1191630.0,942.0,1824654.0,1824654.0,1879290.0,1884.0,57600.0,303600.0,240.0,464880.0,464880.0,478800.0,480.0,1600225.0,1265.0,2450305.0,2450305.0,2523675.0,2530.0,1.0,1937.0,1937.0,1995.0,2.0,3751969.0,3751969.0,3864315.0,3874.0,3751969.0,3864315.0,3874.0,3980025.0,3990.0,4.0,198000
5.0,1991.0,957.0,0.0,1034.0,0.0,1895.0,1949.0,2006.0,2.0,25.0,9955.0,4785.0,0.0,5170.0,0.0,9475.0,9745.0,10030.0,10.0,3964081.0,1905387.0,0.0,2058694.0,0.0,3772945.0,3880459.0,3993946.0,3982.0,915849.0,0.0,989538.0,0.0,1813515.0,1865193.0,1919742.0,1914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1069156.0,0.0,1959430.0,2015266.0,2074204.0,2068.0,0.0,0.0,0.0,0.0,0.0,3591025.0,3693355.0,3801370.0,3790.0,3798601.0,3909694.0,3898.0,4024036.0,4012.0,4.0,119600
5.0,924.0,672.0,576.0,672.0,2.0,1949.0,2003.0,2006.0,1.0,25.0,4620.0,3360.0,2880.0,3360.0,10.0,9745.0,10015.0,10030.0,5.0,853776.0,620928.0,532224.0,620928.0,1848.0,1800876.0,1850772.0,1853544.0,924.0,451584.0,387072.0,451584.0,1344.0,1309728.0,1346016.0,1348032.0,672.0,331776.0,387072.0,1152.0,1122624.0,1153728.0,1155456.0,576.0,451584.0,1344.0,1309728.0,1346016.0,1348032.0,672.0,4.0,3898.0,4006.0,4012.0,2.0,3798601.0,3903847.0,3909694.0,1949.0,4012009.0,4018018.0,2003.0,4024036.0,2006.0,1.0,122900
8.0,2524.0,2524.0,542.0,2524.0,2.0,1981.0,1981.0,1981.0,2.0,64.0,20192.0,20192.0,4336.0,20192.0,16.0,15848.0,15848.0,15848.0,16.0,6370576.0,6370576.0,1368008.0,6370576.0,5048.0,5000044.0,5000044.0,5000044.0,5048.0,6370576.0,1368008.0,6370576.0,5048.0,5000044.0,5000044.0,5000044.0,5048.0,293764.0,1368008.0,1084.0,1073702.0,1073702.0,1073702.0,1084.0,6370576.0,5048.0,5000044.0,5000044.0,5000044.0,5048.0,4.0,3962.0,3962.0,3962.0,4.0,3924361.0,3924361.0,3924361.0,3962.0,3924361.0,3924361.0,3962.0,3924361.0,3962.0,4.0,278000
8.0,1517.0,792.0,400.0,792.0,2.0,1929.0,1931.0,1950.0,1.0,64.0,12136.0,6336.0,3200.0,6336.0,16.0,15432.0,15448.0,15600.0,8.0,2301289.0,1201464.0,606800.0,1201464.0,3034.0,2926293.0,2929327.0,2958150.0,1517.0,627264.0,316800.0,627264.0,1584.0,1527768.0,1529352.0,1544400.0,792.0,160000.0,316800.0,800.0,771600.0,772400.0,780000.0,400.0,627264.0,1584.0,1527768.0,1529352.0,1544400.0,792.0,4.0,3858.0,3862.0,3900.0,2.0,3721041.0,3724899.0,3761550.0,1929.0,3728761.0,3765450.0,1931.0,3802500.0,1950.0,1.0,230000
8.0,1494.0,1494.0,481.0,1494.0,2.0,1995.0,1995.0,1996.0,1.0,64.0,11952.0,11952.0,3848.0,11952.0,16.0,15960.0,15960.0,15968.0,8.0,2232036.0,2232036.0,718614.0,2232036.0,2988.0,2980530.0,2980530.0,2982024.0,1494.0,2232036.0,718614.0,2232036.0,2988.0,2980530.0,2980530.0,2982024.0,1494.0,231361.0,718614.0,962.0,959595.0,959595.0,960076.0,481.0,2232036.0,2988.0,2980530.0,2980530.0,2982024.0,1494.0,4.0,3990.0,3990.0,3992.0,2.0,3980025.0,3980025.0,3982020.0,1995.0,3980025.0,3982020.0,1995.0,3984016.0,1996.0,1.0,270000
6.0,948.0,948.0,410.0,948.0,2.0,1952.0,1952.0,1952.0,1.0,36.0,5688.0,5688.0,2460.0,5688.0,12.0,11712.0,11712.0,11712.0,6.0,898704.0,898704.0,388680.0,898704.0,1896.0,1850496.0,1850496.0,1850496.0,948.0,898704.0,388680.0,898704.0,1896.0,1850496.0,1850496.0,1850496.0,948.0,168100.0,388680.0,820.0,800320.0,800320.0,800320.0,410.0,898704.0,1896.0,1850496.0,1850496.0,1850496.0,948.0,4.0,3904.0,3904.0,3904.0,2.0,3810304.0,3810304.0,3810304.0,1952.0,3810304.0,3810304.0,1952.0,3810304.0,1952.0,1.0,125000
8.0,1718.0,1705.0,826.0,1718.0,3.0,2007.0,2007.0,2008.0,2.0,64.0,13744.0,13640.0,6608.0,13744.0,24.0,16056.0,16056.0,16064.0,16.0,2951524.0,2929190.0,1419068.0,2951524.0,5154.0,3448026.0,3448026.0,3449744.0,3436.0,2907025.0,1408330.0,2929190.0,5115.0,3421935.0,3421935.0,3423640.0,3410.0,682276.0,1419068.0,2478.0,1657782.0,1657782.0,1658608.0,1652.0,2951524.0,5154.0,3448026.0,3448026.0,3449744.0,3436.0,9.0,6021.0,6021.0,6024.0,6.0,4028049.0,4028049.0,4030056.0,4014.0,4028049.0,4030056.0,4014.0,4032064.0,4016.0,4.0,297000
6.0,1142.0,160.0,384.0,1142.0,1.0,1958.0,1958.0,1958.0,1.0,36.0,6852.0,960.0,2304.0,6852.0,6.0,11748.0,11748.0,11748.0,6.0,1304164.0,182720.0,438528.0,1304164.0,1142.0,2236036.0,2236036.0,2236036.0,1142.0,25600.0,61440.0,182720.0,160.0,313280.0,313280.0,313280.0,160.0,147456.0,438528.0,384.0,751872.0,751872.0,751872.0,384.0,1304164.0,1142.0,2236036.0,2236036.0,2236036.0,1142.0,1.0,1958.0,1958.0,1958.0,1.0,3833764.0,3833764.0,3833764.0,1958.0,3833764.0,3833764.0,1958.0,3833764.0,1958.0,1.0,113500
5.0,1475.0,757.0,336.0,925.0,1.0,1977.0,1977.0,1977.0,2.0,25.0,7375.0,3785.0,1680.0,4625.0,5.0,9885.0,9885.0,9885.0,10.0,2175625.0,1116575.0,495600.0,1364375.0,1475.0,2916075.0,2916075.0,2916075.0,2950.0,573049.0,254352.0,700225.0,757.0,1496589.0,1496589.0,1496589.0,1514.0,112896.0,310800.0,336.0,664272.0,664272.0,664272.0,672.0,855625.0,925.0,1828725.0,1828725.0,1828725.0,1850.0,1.0,1977.0,1977.0,1977.0,2.0,3908529.0,3908529.0,3908529.0,3954.0,3908529.0,3908529.0,3954.0,3908529.0,3954.0,4.0,127000
